"char1","char2","numUtterances","loc"
C3PO,R2D2,4,ship
R2D2,C3PO,3,ship
C3PO,R2D2,4,ship
R2D2,C3PO,3,ship
C3PO,R2D2,4,ship
R2D2,C3PO,3,ship
C3PO,R2D2,2,ship
R2D2,C3PO,2,ship
Vader,Leia,2,ship
Leia,Vader,2,ship
C3PO,R2D2,9,Tatooine
R2D2,C3PO,9,Tatooine
C3PO,R2D2,2,Tatooine
R2D2,C3PO,2,Tatooine
C3PO,R2D2,6,Tatooine
R2D2,C3PO,5,Tatooine
C3PO,Luke,2,Tatooine
Luke,R2D2,1,Tatooine
Luke,C3PO,2,Tatooine
Luke,Beru,4,Tatooine
Beru,Luke,2,Tatooine
Owen,Luke,3,Tatooine
Luke,Owen,3,Tatooine
Owen,C3PO,4,Tatooine
C3PO,Owen,4,Tatooine
C3PO,R2D2,5,Tatooine
R2D2,C3PO,4,Tatooine
Luke,C3PO,12,Tatooine
C3PO,Luke,11,Tatooine
R2D2,Luke,5,Tatooine
Luke,R2D2,2,Tatooine
Luke,Beru,1,Tatooine
Beru,Luke,1,Tatooine
Beru,Owen,2,Tatooine
Owen,Beru,2,Tatooine
Luke,Owen,11,Tatooine
Owen,Luke,9,Tatooine
Beru,Luke,1,Tatooine
Luke,Beru,1,Tatooine
Luke,C3PO,4,Tatooine
C3PO,Luke,4,Tatooine
Luke,Owen,1,Tatooine
Owen,Luke,1,Tatooine
Owen,Beru,1,Tatooine
Beru,Owen,1,Tatooine
Luke,C3PO,1,Tatooine
Luke,R2D2,1,Tatooine
R2D2,Luke,1,Tatooine
Luke,C3PO,1,Tatooine
C3PO,Luke,2,Tatooine
C3PO,R2D2,2,Tatooine
R2D2,C3PO,1,Tatooine
Luke,C3PO,1,Tatooine
Obi-wan,R2D2,3,Tatooine
R2D2,Obi-wan,2,Tatooine
Luke,Obi-wan,5,Tatooine
Obi-wan,Luke,7,Tatooine
Luke,C3PO,2,Tatooine
C3PO,Luke,1,Tatooine
C3PO,Luke,1,Tatooine
Luke,C3PO,1,Tatooine
Luke,Obi-wan,9,Tatooine
Obi-wan,Luke,13,Tatooine
R2D2,Obi-wan,1,Tatooine
Tarkin,Vader,1,Death Star
Luke,Obi-wan,4,Tatooine
Obi-wan,Luke,3,Tatooine
Vader,Leia,1,Death Star
Luke,Obi-wan,1,Tatooine
Obi-wan,Luke,1,Tatooine
Luke,Obi-wan,2,Mos Eisley
Obi-wan,Luke,2,Mos Eisley
C3PO,R2D2,1,Mos Eisley
R2D2,C3PO,1,Mos Eisley
Obi-wan,Chewie,1,Mos Eisley
