"char1","char2","numUtterances","loc","epi"
Luke,Han,3,Hoth,V
Han,Luke,3,Hoth,V
Han,Chewie,2,Hoth,V
Chewie,Han,2,Hoth,V
Han,Leia,6,Hoth,V
Leia,Han,6,Hoth,V
Han,Rieekan,4,Hoth,V
Rieekan,Han,3,Hoth,V
R2D2,C3PO,4,Hoth,V
C3PO,R2D2,4,Hoth,V
C3PO,Han,5,Hoth,V
Han,C3PO,2,Hoth,V
R2D2,C3PO,2,Hoth,V
C3PO,R2D2,4,Hoth,V
Luke,Obi-wan,2,Hoth,V
Obi-wan,Luke,2,Hoth,V
Han,Luke,3,Hoth,V
C3PO,Leia,3,Hoth,V
R2D2,C3PO,1,Hoth,V
Chewie,Luke,2,Hoth,V
Han,Chewie,1,Hoth,V
Han,Luke,2,Hoth,V
Luke,Han,2,Hoth,V
Leia,Han,4,Hoth,V
Han,Leia,2,Hoth,V
C3PO,Luke,1,Hoth,V
R2D2,Luke,1,Hoth,V
Rieekan,Leia,2,Hoth,V
Leia,Rieekan,1,Hoth,V
Han,Rieekan,1,Hoth,V
Han,Chewie,1,Hoth,V
C3PO,Han,1,Hoth,V
Han,Leia,2,Hoth,V
Leia,Han,1,Hoth,V
Han,Chewie,1,Hoth,V
Han,Rieekan,2,Hoth,V
Piett,Ozzel,4,ship,V
Ozzel,Piett,3,ship,V
Vader,Piett,2,ship,V
Ozzel,Vader,1,ship,V
Vader,Veers,1,ship,V
Piett,Vader,1,ship,V
Han,Chewie,1,Hoth,V
Han,Luke,3,Hoth,V
Luke,Han,2,Hoth,V
Luke,Chewie,2,Hoth,V
Chewie,Luke,2,Hoth,V
Vader,Piett,2,ship,V
Vader,Veers,3,ship,V
Veers,Vader,3,ship,V
Vader,Ozzel,1,ship,V
Ozzel,Vader,1,ship,V
Piett,Vader,1,ship,V
Luke,dack,1,Hoth,V
dack,Luke,2,Hoth,V
Luke,dack,3,Hoth,V
dack,Luke,2,Hoth,V
Luke,wedge,3,Hoth,V
wedge,Luke,1,Hoth,V
Veers,Vader,1,Hoth,V
Rieekan,Leia,2,Hoth,V
Leia,Rieekan,1,Hoth,V
Chewie,Han,2,Hoth,V
Han,Chewie,1,Hoth,V
R2D2,C3PO,2,Hoth,V
C3PO,R2D2,3,Hoth,V
Han,Leia,3,Hoth,V
Leia,Han,2,Hoth,V
C3PO,Han,1,Hoth,V
C3PO,Han,1,Falcon,V
C3PO,Leia,1,Falcon,V
Han,C3PO,2,Falcon,V
C3PO,Han,1,Falcon,V
C3PO,Han,2,Falcon,V
Han,Leia,3,Falcon,V
Leia,Han,4,Falcon,V
Han,Chewie,2,Falcon,V
Chewie,Han,2,Falcon,V
Luke,R2D2,5,ship,V
R2D2,Luke,5,ship,V
Chewie,Leia,1,Falcon,V
Leia,Han,12,Falcon,V
Han,Leia,8,Falcon,V
Han,C3PO,1,Falcon,V
C3PO,Han,4,Falcon,V
Chewie,Han,4,Falcon,V
Han,Chewie,6,Falcon,V
Luke,R2D2,12,Dagobah,V
R2D2,Luke,12,Dagobah,V
Piett,Vader,2,ship,V
Vader,Piett,2,ship,V
Han,Chewie,1,Falcon,V
C3PO,Han,2,Falcon,V
Chewie,C3PO,1,Falcon,V
Han,C3PO,1,Falcon,V
Han,Leia,2,Falcon,V
Leia,Han,3,Falcon,V
Luke,yoda,13,Dagobah,V
yoda,Luke,12,Dagobah,V
yoda,R2D2,1,Dagobah,V
R2D2,Luke,5,Dagobah,V
Luke,R2D2,6,Dagobah,V
C3PO,Han,2,Falcon,V
Han,C3PO,1,Falcon,V
Han,Chewie,1,Falcon,V
Chewie,Han,1,Falcon,V
Han,C3PO,1,Falcon,V
C3PO,Han,2,Falcon,V
Leia,Han,7,Falcon,V
Han,Leia,7,Falcon,V
Piett,Vader,2,ship,V
Vader,Piett,2,ship,V
Vader,Needa,2,ship,V
Needa,Vader,1,ship,V
Vader,emp,7,ship,V
emp,Vader,7,ship,V
yoda,Luke,10,Dagobah,V
Luke,yoda,10,Dagobah,V
Obi-wan,yoda,3,Dagobah,V
yoda,Obi-wan,6,Dagobah,V
Luke,Obi-wan,2,Dagobah,V
C3PO,Han,3,Falcon,V
Han,C3PO,1,Falcon,V
Han,Leia,9,Falcon,V
Leia,Han,9,Falcon,V
Han,Chewie,2,Falcon,V
Chewie,Han,2,Falcon,V
Luke,yoda,7,Dagobah,V
yoda,Luke,17,Dagobah,V
Needa,Piett,2,ship,V
Piett,Needa,1,ship,V
Piett,Vader,1,ship,V
Vader,Boba Fett,1,ship,V
Boba Fett,Vader,1,ship,V
C3PO,Han,2,Falcon,V
Han,Leia,1,Falcon,V
Leia,Han,1,Falcon,V
Han,Chewie,2,Falcon,V
Chewie,Han,3,Falcon,V
Leia,C3PO,1,Falcon,V
yoda,Luke,15,Dagobah,V
Luke,yoda,5,Dagobah,V
R2D2,Luke,4,Dagobah,V
Vader,Needa,1,ship,V
Vader,Piett,2,ship,V
Piett,Vader,2,ship,V
C3PO,Chewie,1,Falcon,V
Chewie,C3PO,1,Falcon,V
Han,Chewie,3,Falcon,V
C3PO,Han,2,Falcon,V
Han,Leia,8,Falcon,V
Leia,Han,9,Falcon,V
Luke,yoda,3,Dagobah,V
yoda,Luke,9,Dagobah,V
R2D2,Luke,1,Dagobah,V
C3PO,Leia,2,Bespin,V
Lando,Han,9,Bespin,V
Han,Lando,6,Bespin,V
Han,Leia,4,Bespin,V
Lando,Leia,1,Bespin,V
Leia,Lando,1,Bespin,V
Chewie,Han,1,Bespin,V
Han,Chewie,2,Bespin,V
Lando,Chewie,1,Bespin,V
Leia,Han,3,Bespin,V
Luke,yoda,4,Dagobah,V
yoda,Luke,9,Dagobah,V
Luke,Obi-wan,4,Dagobah,V
Obi-wan,Luke,7,Dagobah,V
Luke,R2D2,1,Dagobah,V
Obi-wan,yoda,1,Dagobah,V
yoda,Obi-wan,2,Dagobah,V
Han,Leia,3,Bespin,V
Leia,Han,2,Bespin,V
Chewie,Han,1,Bespin,V
Han,Chewie,1,Bespin,V
Leia,Chewie,1,Bespin,V
Chewie,Leia,1,Bespin,V
Leia,Lando,1,Bespin,V
Lando,Leia,1,Bespin,V
Han,Lando,1,Bespin,V
Lando,Han,1,Bespin,V
Lando,Leia,2,Bespin,V
Leia,Lando,1,Bespin,V
Han,Lando,2,Bespin,V
Lando,Han,4,Bespin,V
Vader,Han,1,Bespin,V
Chewie,Lando,1,Bespin,V
Chewie,Vader,1,Bespin,V
R2D2,Luke,1,ship,V
Luke,R2D2,2,ship,V
Vader,Lando,3,Bespin,V
Lando,Vader,3,Bespin,V
Vader,Boba Fett,1,Bespin,V
Boba Fett,Vader,1,Bespin,V
Han,Chewie,2,Bespin,V
Chewie,Han,1,Bespin,V
Lando,Han,3,Bespin,V
Han,Lando,4,Bespin,V
Leia,Han,3,Bespin,V
Leia,Lando,1,Bespin,V
C3PO,Chewie,4,Bespin,V
Lando,Leia,2,Bespin,V
Vader,Lando,1,Bespin,V
Lando,Vader,1,Bespin,V
C3PO,Chewie,5,Bespin,V
Chewie,Han,3,Bespin,V
Han,Chewie,4,Bespin,V
Vader,Boba Fett,2,Bespin,V
Boba Fett,Vader,1,Bespin,V
Vader,Lando,3,Bespin,V
Lando,Vader,2,Bespin,V
Lando,Han,1,Bespin,V
Han,Lando,1,Bespin,V
Han,Leia,1,Bespin,V
Leia,Han,1,Bespin,V
Chewie,Luke,1,Bespin,V
Leia,Luke,2,Bespin,V
Lando,Lobot,2,Bespin,V
Luke,Vader,1,Bespin,V
Vader,Luke,1,Bespin,V
C3PO,Leia,1,Bespin,V
Leia,Lando,4,Bespin,V
Lando,Leia,4,Bespin,V
C3PO,Lando,1,Bespin,V
Lando,Lobot,2,Bespin,V
Chewie,Lando,1,Bespin,V
Leia,Chewie,1,Bespin,V
C3PO,R2D2,2,Bespin,V
R2D2,C3PO,2,Bespin,V
C3PO,Chewie,2,Bespin,V
Luke,Vader,5,Bespin,V
Vader,Luke,2,Bespin,V
R2D2,C3PO,4,Bespin,V
C3PO,R2D2,5,Bespin,V
Lando,Leia,1,Bespin,V
C3PO,Chewie,1,Bespin,V
Chewie,Lando,1,Bespin,V
Lando,Leia,1,Bespin,V
Leia,Lando,2,Bespin,V
Leia,Chewie,1,Bespin,V
Leia,Luke,1,Bespin,V
Luke,Leia,2,Bespin,V
Luke,Obi-wan,2,Bespin,V
Vader,Luke,11,Bespin,V
Luke,Vader,6,Bespin,V
Lando,Leia,3,Falcon,V
Leia,Lando,4,Falcon,V
Lando,Chewie,3,Falcon,V
Leia,Chewie,3,Falcon,V
Chewie,Leia,2,Falcon,V
Leia,Luke,1,Falcon,V
Piett,Vader,2,ship,V
Vader,Piett,2,ship,V
R2D2,C3PO,2,Falcon,V
C3PO,R2D2,4,Falcon,V
Lando,Chewie,1,Falcon,V
Chewie,Lando,1,Falcon,V
Luke,Obi-wan,2,Falcon,V
Luke,Vader,1,Falcon,V
Vader,Luke,3,Falcon,V
Luke,Leia,1,Falcon,V
R2D2,C3PO,1,Falcon,V
C3PO,R2D2,4,Falcon,V
Luke,Chewie,1,ship,V
Luke,Lando,3,ship,V
Lando,Luke,2,ship,V
