"char1","char2","numMentions","loc","epi"
dv,leia,1,ds,VI
leia,luke,3,endor,VI
han,luke,3,endor,VI
dv,obi,1,ds,VI
luke,dv,1,ds,VI
emp,dv,4,ds,VI
dv,leia,4,ds,VI
dv,obi,2,ds,VI
dv,han,2,ds,VI
dv,leia,2,ds,VI
piett,emp,1,ship,VI
lando,han,1,mf,VI
emp,han,1,ds,VI
emp,leia,1,ds,VI
emp,dv,1,ds,VI
dv,obi,1,ds,VI
dv,emp,4,ds,VI
luke,emp,2,ds,VI
han,chew,1,endor,VI
lando,han,1,mf,VI
3p,han,1,endor,VI
3p,obi,1,endor,VI
3p,leia,1,endor,VI
3p,r2,1,endor,VI
3p,dv,3,endor,VI
3p,luke,1,endor,VI
han,luke,1,endor,VI
luke,leia,1,endor,VI
luke,dv,8,endor,VI
leia,dv,2,endor,VI
emp,luke,3,ds,VI
han,leia,1,endor,VI
3p,leia,1,endor,VI
3p,r2,1,endor,VI
han,chew,1,endor,VI
han,leia,1,endor,VI
luke,leia,2,endor,VI
luke,dv,1,ship,VI
ack,lando,1,ship,VI
mon,emp,3,ship,VI
luke,yoda,1,ship,VI
emp,luke,3,ds,VI
yoda,leia,1,dag,VI
yoda,dv,5,dag,VI
luke,dv,1,dag,VI
yoda,emp,1,dag,VI
luke,dv,3,dag,VI
obi,dv,7,dag,VI
obi,emp,4,dag,VI
obi,leia,2,dag,VI
luke,leia,3,dag,VI
luke,yoda,1,dag,VI
obi,yoda,2,dag,VI
3p,luke,1,barge,VI
luke,lando,1,tat,VI
luke,chew,1,tat,VI
han,lando,1,tat,VI
han,boba,2,tat,VI
luke,3p,1,tat,VI
luke,r2,1,tat,VI
han,luke,2,palace,VI
chew,luke,2,palace,VI
3p,luke,1,palace,VI
luke,han,2,palace,VI
luke,chew,2,palace,VI
bib,luke,2,palace,VI
bib,jab,3,palace,VI
luke,leia,1,palace,VI
luke,jab,3,palace,VI
jab,luke,1,palace,VI
han,leia,1,palace,VI
3p,luke,2,palace,VI
Droid Boss,3p,2,palace,VI
Droid Boss,jab,2,palace,VI
3p,jab,2,palace,VI
jab,leia,1,palace,VI
jab,chew,2,palace,VI
han,jab,1,palace,VI
dv,emp,4,palace,VI
jab,emp,2,palace,VI
3p,r2,2,palace,VI
3p,jab,4,palace,VI
bib,jab,3,palace,VI
3p,lando,1,palace,VI
3p,luke,2,palace,VI
3p,chew,1,palace,VI
jab,han,1,palace,VI
bib,luke,1,palace,VI
luke,3p,1,palace,VI
luke,r2,1,palace,VI
3p,han,1,palace,VI
