"char1","char2","loc"
Rieekan,Han,Hoth
C3PO,Han,Hoth
C3PO,R2D2,Hoth
C3PO,R2D2,Hoth
C3PO,R2D2,Hoth
Han,Luke,Hoth
Han,Luke,Hoth
C3PO,R2D2,Hoth
C3PO,R2D2,Hoth
Chewie,Luke,Hoth
Luke,Leia,Hoth
Han,Leia,Hoth
Chewie,Luke,Hoth
Chewie,Luke,Hoth
C3PO,Han,Hoth
Han,Leia,Hoth
Han,Leia,Hoth
Han,Leia,Hoth
Han,Leia,Hoth
C3PO,Han,Hoth
Han,Leia,Hoth
Han,Leia,Hoth
Han,Leia,Falcon
C3PO,Chewie,Falcon
C3PO,Chewie,Falcon
Han,C3PO,Falcon
Leia,C3PO,Falcon
Luke,R2D2,Dagobah
Luke,R2D2,Dagobah
Luke,R2D2,Dagobah
Han,Leia,Falcon
Han,Leia,Falcon
C3PO,Leia,Falcon
Han,C3PO,Falcon
Han,C3PO,Falcon
Yoda,R2D2,Dagobah
Yoda,R2D2,Dagobah
Yoda,Luke,Dagobah
Yoda,Luke,Dagobah
Luke,R2D2,Dagobah
Luke,R2D2,Dagobah
C3PO,Han,Falcon
Han,Leia,Falcon
Han,Leia,Falcon
Han,Leia,Falcon
Luke,Yoda,Dagobah
Han,Chewie,Falcon
Han,Chewie,Falcon
Han,Leia,Falcon
Han,Leia,Falcon
Luke,Yoda,Dagobah
Luke,Yoda,Dagobah
Luke,Yoda,Dagobah
Luke,Yoda,Dagobah
Chewie,C3PO,Falcon
C3PO,Leia,Falcon
Han,Leia,Falcon
Han,Leia,Falcon
Han,Chewie,Bespin
Han,Chewie,Bespin
Leia,Lando,Bespin
Han,Chewie,Bespin
Han,Lando,Bespin
Han,Lando,Bespin
Han,Leia,Bespin
Han,Leia,Bespin
Han,Leia,Bespin
C3PO,Chewie,Bespin
C3PO,Chewie,Bespin
C3PO,Chewie,Bespin
Han,Leia,Bespin
Leia,Lando,Bespin
Han,Leia,Bespin
Han,Leia,Bespin
C3PO,Chewie,Bespin
C3PO,Chewie,Bespin
C3PO,Chewie,Bespin
C3PO,Chewie,Bespin
C3PO,Chewie,Bespin
Han,Chewie,Bespin
Han,Chewie,Bespin
Han,Chewie,Bespin
Han,Chewie,Bespin
C3PO,Chewie,Bespin
C3PO,Chewie,Bespin
C3PO,Chewie,Bespin
Han,Leia,Bespin
Han,Leia,Bespin
Han,Leia,Bespin
Han,Leia,Bespin
Han,Leia,Bespin
Han,Lando,Bespin
Leia,Chewie,Bespin
C3PO,Chewie,Bespin
Han,Leia,Bespin
Han,Lando,Bespin
Leia,Lando,Bespin
Luke,R2D2,Bespin
Luke,R2D2,Bespin
Luke,Vader,Bespin
Chewie,Lando,Bespin
Chewie,Lando,Bespin
C3PO,Chewie,Bespin
C3PO,Chewie,Falcon
R2D2,Chewie,Falcon
C3PO,R2D2,Falcon
Lando,Leia,Falcon
Luke,Vader,Bespin
Luke,Vader,Bespin
Chewie,Lando,Falcon
Luke,Lando,Falcon
Luke,Lando,Falcon
Luke,Leia,Falcon
Luke,Leia,Falcon
Luke,Leia,Falcon
Luke,Lando,Falcon
Luke,Leia,ship
