"char1","char2","loc"
3p,r2,tat
bib,r2,tat
chew,leia,palace
lando,leia,palace
han,leia,palace
han,leia,palace
han,leia,palace
han,chew,palace
han,chew,palace
jab,leia,palace
jab,leia,palace
leia,lando,palace
leia,jab,palace
r2,3p,barge
leia,jab,barge
3p,r2,tat
leia,jab,barge
leia,jab,barge
leia,luke,barge
han,chew,tat
luke,chew,tat
yoda,luke,dag
luke,leia,ship
leia,han,ship
leia,luke,endor
leia,luke,endor
leia,luke,endor
leia,wicket,endor
leia,wicket,endor
leia,wicket,endor
leia,wicket,endor
han,luke,endor
han,luke,endor
han,luke,endor
han,chew,endor
han,3p,endor
han,r2,endor
luke,chew,endor
luke,3p,endor
luke,r2,endor
chew,3p,endor
chew,r2,endor
3p,r2,endor
wicket,r2,endor
leia,han,endor
leia,han,endor
luke,leia,endor
luke,han,endor
han,3p,endor
han,3p,endor
han,wicket,endor
han,leia,endor
luke,leia,endor
luke,leia,endor
han,leia,endor
han,leia,endor
3p,r2,endor
3p,r2,endor
han,r2,endor
luke,dv,ds
leia,han,ds
luke,dv,ds
luke,dv,ds
luke,dv,ds
luke,dv,ds
luke,dv,ds
luke,dv,ds
han,leia,endor
han,leia,endor
han,leia,endor
han,leia,endor
leia,wicket,endor
han,wicket,endor
luke,dv,endor
3p,wicket,endor
r2,wicket,endor
lando,han,endor
lando,luke,endor
leia,luke,endor
wedge,luke,endor
wedge,chew,endor
